epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,10348.3,0.84359,0.58986,1.12937,0.86086,0.77685,0.83625,0.55198,1.12111,0.65106,1.30657,0.0001189,0.0001189,0.0001189
91,10458.4,0.75468,0.44241,1.06676,0.84533,0.77834,0.83049,0.54671,1.124,0.66291,1.31525,0.000109,0.000109,0.000109
92,10572.9,0.73134,0.41405,1.05389,0.86645,0.77496,0.83756,0.55277,1.11484,0.6461,1.30781,9.91e-05,9.91e-05,9.91e-05
93,10681.6,0.72083,0.40681,1.04498,0.84898,0.78351,0.83681,0.55398,1.11238,0.6517,1.31042,8.92e-05,8.92e-05,8.92e-05
94,10806,0.71982,0.40604,1.05549,0.85962,0.78501,0.83661,0.55392,1.1102,0.64657,1.31004,7.93e-05,7.93e-05,7.93e-05
95,10914.8,0.71039,0.4012,1.04158,0.85993,0.78286,0.8369,0.55606,1.11096,0.64899,1.31768,6.94e-05,6.94e-05,6.94e-05
96,11035.6,0.69672,0.39118,1.03707,0.8634,0.78104,0.83831,0.55701,1.10647,0.64411,1.31698,5.95e-05,5.95e-05,5.95e-05
97,11156.4,0.68755,0.38492,1.03341,0.86516,0.78163,0.84054,0.55958,1.10449,0.64625,1.31468,4.96e-05,4.96e-05,4.96e-05
98,11271.5,0.68762,0.38668,1.03274,0.85757,0.78544,0.84149,0.5606,1.10348,0.64211,1.31563,3.97e-05,3.97e-05,3.97e-05
99,11392,0.68018,0.38251,1.02493,0.86011,0.78696,0.84163,0.56088,1.10422,0.6404,1.31698,2.98e-05,2.98e-05,2.98e-05
100,11512.3,0.66441,0.37261,1.02008,0.85876,0.78966,0.84228,0.56149,1.09951,0.63851,1.31422,1.99e-05,1.99e-05,1.99e-05
